"Teams","Matches","Individual Innings","Runs","Balls","Not out","Highest","Average","SR","4s","6s","Min","Boundaries %"
"Winning team",57,373,8988,6369,109,133,34.05,141.12,838,374,10199,62.26
"Losing team",57,510,8054,6573,99,98,19.6,122.53,730,304,10501,58.9
